Anime Name,Link
Tasokare Hotel,https://anime4up.rest/episode/tasokare-hotel-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-5/
Fuguushoku Kanteishi ga Jitsu wa Saikyou Datta,https://anime4up.rest/episode/fuguushoku-kanteishi-ga-jitsu-wa-saikyou-datta-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-4/
"Guild no Uketsukejou desu ga, Zangyou wa Iya nanode Boss wo Solo Toubatsu Shiyou to Omoimasu",https://anime4up.rest/episode/guild-no-uketsukejou-desu-ga-zangyou-wa-iya-nanode-boss-wo-solo-toubatsu-shiyou-to-omoimasu-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-4/
Kusuriya no Hitorigoto 2nd Season,https://anime4up.rest/episode/kusuriya-no-hitorigoto-2nd-season-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-4/
Class no Daikirai na Joshi to Kekkon suru Koto ni Natta.,https://anime4up.rest/episode/class-no-daikirai-na-joshi-to-kekkon-suru-koto-ni-natta-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-5/
Ubel Blatt,https://anime4up.rest/episode/ubel-blatt-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-4/
Dragon Ball Daima,https://anime4up.rest/episode/dragon-ball-daima-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-16/
Farmagia,https://anime4up.rest/episode/farmagia-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-4/
Nihon e Youkoso Elf-san.,https://anime4up.rest/episode/nihon-e-youkoso-elf-san-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-4/
Ao no Hako,https://anime4up.rest/episode/ao-no-hako-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-18/
Shiguang Dailiren: Yingdu Pian,https://anime4up.rest/episode/shiguang-dailiren-yingdu-pian-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-6/
Rurouni Kenshin: Meiji Kenkaku Romantan - Kyoto Douran,https://anime4up.rest/episode/rurouni-kenshin-meiji-kenkaku-romantan-kyoto-douran-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-16/
Trillion Game,https://anime4up.rest/episode/trillion-game-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-17/
"Douse, Koishite Shimaunda.",https://anime4up.rest/episode/douse-koishite-shimaunda-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-4/
Momentary Lily,https://anime4up.rest/episode/momentary-lily-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-5/
Sousei no Aquarion: Myth of Emotions,https://anime4up.rest/episode/sousei-no-aquarion-myth-of-emotions-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-4/
Mini Toji,https://anime4up.rest/episode/mini-toji-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-00/
Dr. Stone: Science Future,https://anime4up.rest/episode/dr-stone-science-future-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-4/
Around 40 Otoko no Isekai Tsuuhan,https://anime4up.rest/episode/around-40-otoko-no-isekai-tsuuhan-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-4/
Honey Lemon Soda,https://anime4up.rest/episode/honey-lemon-soda-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-4/
Ameku Takao no Suiri Karte,https://anime4up.rest/episode/ameku-takao-no-suiri-karte-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-5/
Magic Maker: Isekai Mahou no Tsukurikata,https://anime4up.rest/episode/magic-maker-isekai-mahou-no-tsukurikata-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-4/
"Hana wa Saku, Shura no Gotoku",https://anime4up.rest/episode/hana-wa-saku-shura-no-gotoku-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a9-4/
